situation,domain,emotions,negative_thought,distortions,prefix,input_text,target_text
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",I'm not a good wife.,"Labeling, Mental Filter, ",cbt,Helen’s husband has not called her yet today. I'm not a good wife.,"Being a good wife is about day to day life, her worry shows that she cares about him, so probably she is a good wife. Him not calling can have many reasons and is not related to their relationship. Her distress shows she misses confidence in herself, instead of creating different scenarios, she might try to call him instead."
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",I'm not a good wife.,"Labeling, Mental Filter, ",cbt,Helen’s husband has not called her yet today. I'm not a good wife.,He has married a person with feelings and emotions like him.  He knows your weaknesses and strengths and marries you anyway
Helen’s husband has not called her yet today.,Romantic,"Sad, Fearful, ",I'm not a good wife.,"Labeling, Mental Filter, ",cbt,Helen’s husband has not called her yet today. I'm not a good wife.,"I am sad that he is not calling me, because I like to hear him, I like when we talk and I am worried that he is bothered at work. I know all that. But its work and he doesnt control all things which come his way there and so he is just not able to call now.
I know that he usually calls,- so, that he doesnt call today is clearly a sign that he is much stressed at work,- if he could, he would call because he knows I am waiting for him. He doesnt do that deliberately, he is a good man but not perfect. And thats not necessary because neither am I. Maybe he just forgot to charge the phone, as I once did and caused him so much worry.
We are not perfect but we fit perfectly to each other."
"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts.",Work,"Nervous, Inadequate, ",They made a terrible mistake when they chose my book! I won’t be able to do a good job.,"All-or-Nothing Thinking, Jumping to Conclusions (Fortune Teller Error), ",cbt,"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts. They made a terrible mistake when they chose my book! I won’t be able to do a good job.",The editor immediately smiled at me and put me at ease. He genuinely seemed excited about the book and I need to believe more in myself.  The expressions on his face are real and he already discussed about how many copies he wants to launch in 2 months so that is a very positive sign. He is always very respondive to my texts and emails.
"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts.",Work,"Nervous, Inadequate, ",They made a terrible mistake when they chose my book! I won’t be able to do a good job.,"All-or-Nothing Thinking, Jumping to Conclusions (Fortune Teller Error), ",cbt,"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts. They made a terrible mistake when they chose my book! I won’t be able to do a good job.","I don't know why I'm feeling like this, it must be nervousness around  this whole situation. But this is very big, I have even an editor and he seems really happy with my work. I'm a Psychiatrist from Pennsylvania University, I took me a lot of work to get here, I will be more confident."
"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts.",Work,"Nervous, Inadequate, ",They made a terrible mistake when they chose my book! I won’t be able to do a good job.,"All-or-Nothing Thinking, Jumping to Conclusions (Fortune Teller Error), ",cbt,"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts. They made a terrible mistake when they chose my book! I won’t be able to do a good job.","In this scenario, feeling satisfied about my efforts I have put into my work will be a better option. Taking their decision as a motivation to move forward to another great experience will be healthier than thinking they made a mistake when they chose my book."
"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts.",Work,"Nervous, Inadequate, ",They made a terrible mistake when they chose my book! I won’t be able to do a good job.,"All-or-Nothing Thinking, Jumping to Conclusions (Fortune Teller Error), ",cbt,"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts. They made a terrible mistake when they chose my book! I won’t be able to do a good job.","You are not their first writer... surely they know what they are doing
"
"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts.",Work,"Nervous, Inadequate, ","I’ll never be able to make the book fresh, lively, and punchy. My writing is too drab, and my ideas aren’t good enough.","Disqualifying the Positive, Magnification, ",cbt,"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts. I’ll never be able to make the book fresh, lively, and punchy. My writing is too drab, and my ideas aren’t good enough.",All my friends and family gave me a good feedback about my book but my editor gave me a good one as well and he wouldnt waste his time discussing the launch of the book if he wouldnt be interested. I also copied a paragraph on redit and got very positive reviews so it gave me the confidence to try and to believe in my writing.
"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts.",Work,"Nervous, Inadequate, ","I’ll never be able to make the book fresh, lively, and punchy. My writing is too drab, and my ideas aren’t good enough.","Disqualifying the Positive, Magnification, ",cbt,"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts. I’ll never be able to make the book fresh, lively, and punchy. My writing is too drab, and my ideas aren’t good enough.",Sometimes I feel a bit down about my work but I may have to look for some more inspiration. I'm capable to come up with better ideas. I have already done it so well in my career.
"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts.",Work,"Nervous, Inadequate, ","I’ll never be able to make the book fresh, lively, and punchy. My writing is too drab, and my ideas aren’t good enough.","Disqualifying the Positive, Magnification, ",cbt,"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts. I’ll never be able to make the book fresh, lively, and punchy. My writing is too drab, and my ideas aren’t good enough.","When in doubt, it is always best to ask questions. In this situation, will be better to ask the editor what made him chose my book and understand that what seems not to be good enough for one person can be very good for another person.  Learning more about others instead focusing on ourselves will help me to see things from different perspectives."
"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts.",Work,"Nervous, Inadequate, ","I’ll never be able to make the book fresh, lively, and punchy. My writing is too drab, and my ideas aren’t good enough.","Disqualifying the Positive, Magnification, ",cbt,"You are a psychiatrist at the University of Pennsylvania. You are attempting to revise your manuscript on depression after meeting with your editor in New York. Although your editor seemed extremely enthusiastic, you notice you are feeling nervous and inadequate due to your thoughts. I’ll never be able to make the book fresh, lively, and punchy. My writing is too drab, and my ideas aren’t good enough.",You are a psychiatrist..this is your area of expertise.
Your date calls you at the last minute to cancel out because of illness.,Romantic,"Anger, Disappointment, ",I’m getting jilted. What did I do to foul things up?,"Jumping to Conclusions (Mind Reading), Personalization and Blaming, ",cbt,Your date calls you at the last minute to cancel out because of illness. I’m getting jilted. What did I do to foul things up?,I am obviously disappointed as I was excited to finally meet this person but I also have to put myself in his shoes: he seems very worried about his sickness and sounded very tired. I should be more understanding and if he really wouldnt want to see me he would have offered me so many options to meet. He is always giving me compliments and is always the one taking the initiative to write me. He wanted to show on his best day and therefore prefers to cancel and enjoy the next time we meet. If he continues to write me during the week I can offer him to meet at the end of next week when he will feel better.
Your date calls you at the last minute to cancel out because of illness.,Romantic,"Anger, Disappointment, ",I’m getting jilted. What did I do to foul things up?,"Jumping to Conclusions (Mind Reading), Personalization and Blaming, ",cbt,Your date calls you at the last minute to cancel out because of illness. I’m getting jilted. What did I do to foul things up?,It is a shame I cannot meet with this girl but I really like her! I feel disappointed about not seeing her today but we will have another chance. I'll text her tomorrow to see if she feels any better.
Your date calls you at the last minute to cancel out because of illness.,Romantic,"Anger, Disappointment, ",I’m getting jilted. What did I do to foul things up?,"Jumping to Conclusions (Mind Reading), Personalization and Blaming, ",cbt,Your date calls you at the last minute to cancel out because of illness. I’m getting jilted. What did I do to foul things up?,"In this situation focusing on facts will be a better option. By focusing on facts we don't leave a room for negative thinking about ourselves or assuming what is going on in someone else mind. For example, in this scenario will be good to ask the person if there is anything I can do for or showing interest by asking more about the illness."
Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”.,Work,"Anger, Sadness, ",I’ll never sell a policy.,"Overgeneralization, ",cbt,Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”. I’ll never sell a policy.,"Cold calls are always very hard and this on top of this could have been the wrong time for him. He could be having a hard day and he already got 2 other cold calls during the morning that ended badly and wasted his time.  I should maybe prepare better next time and send him a message on Linkedin to highlight our current program and why it could be of interest for him. During the day people are busy with meetings, calls, questions, kids, personal issues so  maybe i should take this into account next time I am planning to call a potential client."
Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”.,Work,"Anger, Sadness, ",I’ll never sell a policy.,"Overgeneralization, ",cbt,Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”. I’ll never sell a policy.,"I'm sure I will sell more policies in the future, I've done it before and I'm good at my work. I shouldn't worry about this one."
Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”.,Work,"Anger, Sadness, ",I’ll never sell a policy.,"Overgeneralization, ",cbt,Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”. I’ll never sell a policy.,Do you have evidence you wont sell another policy?How long is left of your shift and what's the likelihood of being able to sell another policy
Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”.,Work,"Anger, Sadness, ",I’d like to strangle the bastard.,"Magnification, Labeling, ",cbt,Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”. I’d like to strangle the bastard.,"This person was really rude to me and I am currently quite annoyed and disappointed of his tone and the way he talk to me but this is just a call and I should just get out for a little walk to clear my mind , talk to a colleague or call a friend to disconnect as well. I have several options and reasons to think I was not the issue why he was so angry on the phone therefore I should move one and find a better time to call him next time or to approach him a different way (mail, linkedin message, letter) ."
Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”.,Work,"Anger, Sadness, ",I’d like to strangle the bastard.,"Magnification, Labeling, ",cbt,Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”. I’d like to strangle the bastard.,"Some people don't really like this kind of calls, he also may be having a bad day. I won't make a big deal of this."
Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”.,Work,"Anger, Sadness, ",I’d like to strangle the bastard.,"Magnification, Labeling, ",cbt,Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”. I’d like to strangle the bastard.,"That's a bit harsh,perhaps hes struggling with something and my call disturbed him.he should consider my feelings too, I'm only trying to earn money"
Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”.,Work,"Anger, Sadness, ",I must have said the wrong thing.,"Personalization and Blaming, ",cbt,Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”. I must have said the wrong thing.,"Maybe I should have asked if that is a right time to call him, if he would have some time to talk but I immediately presented myself and start my speech instead of giving him the time to concentrate on the call. I learn through all experiences/ exercices and this is a good way for me to see what I should continue doing and what I should stop. I was very respectful despite his rudeness so I am not the issue; it was just the wrong timing for him and I am still learning how to approach some clients through all these calls."
Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”.,Work,"Anger, Sadness, ",I must have said the wrong thing.,"Personalization and Blaming, ",cbt,Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”. I must have said the wrong thing.,"I don't think my approach was wrong, just the other person was not ready for this kind of call in that moment.
"
Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”.,Work,"Anger, Sadness, ",I must have said the wrong thing.,"Personalization and Blaming, ",cbt,Potential customer hangs up on me when I call to describe our new insurance program. He said: “Get out of my goddam hair!”. I must have said the wrong thing.,Maybe I should reflect on what I said and consider next time how I could change it. Maybe he didnt have time to talk.
Your heart sinks when your husband has just started to complain that the roast beef was overdone.,Romantic,"Sadness, Anger, ",I’m a total failure. I can’t stand it!,"All-or-Nothing Thinking, Magnification, ",cbt,Your heart sinks when your husband has just started to complain that the roast beef was overdone. I’m a total failure. I can’t stand it!,Overcooking a meal when cooking is something that can happen to anyone. My husband shouldn't complain about that.
Your heart sinks when your husband has just started to complain that the roast beef was overdone.,Romantic,"Sadness, Anger, ",I’m a total failure. I can’t stand it!,"All-or-Nothing Thinking, Magnification, ",cbt,Your heart sinks when your husband has just started to complain that the roast beef was overdone. I’m a total failure. I can’t stand it!,First I had a huge dinner to prepare and the kids were constantly seeking for my attention. His remark is true but I also spent hours cooking after a long day of work and forgot to put the alarm to stop the oven. I know it is just an objective remark and therefore should not start a fight as this will ruin the evening. He should help sometimes as well prepare the dinner and not only count on me all the time! I wish he would see how busy I am everyday and cannot expect me to be 100% perfect/reactive/careful all the time.
Your heart sinks when your husband has just started to complain that the roast beef was overdone.,Romantic,"Sadness, Anger, ",I never do anything right.,"Overgeneralization, ",cbt,Your heart sinks when your husband has just started to complain that the roast beef was overdone. I never do anything right.,I'm capable of doing a lot of things right. I have done this roast very well before!
Your heart sinks when your husband has just started to complain that the roast beef was overdone.,Romantic,"Sadness, Anger, ",I never do anything right.,"Overgeneralization, ",cbt,Your heart sinks when your husband has just started to complain that the roast beef was overdone. I never do anything right.,"I did overdo the cooking of the roast beef but my vegetables are very tasteful as well as my desert and starter. Even though its overdone he still ate everything so I guess it wasnt that bad at the end. I am a very good cook who knows how to prepare some dishes but sometimes due to a minute of inattention this can jeopardize the cooking of a dinner/lunch. I will be more careful next time and will ask for his help (take care of the kids, dressing up the tables, wash the dishes) while controlling the whole diner preparation. Communication is important to avoid misunderstandings and frustations."
Your heart sinks when your husband has just started to complain that the roast beef was overdone.,Romantic,"Sadness, Anger, ",I work like a slave and this is all the thanks I get! The jerk!!,"Labeling, ",cbt,Your heart sinks when your husband has just started to complain that the roast beef was overdone. I work like a slave and this is all the thanks I get! The jerk!!,I think I should talk to my husband to let him know how he makes me feel. He should have a bit more empathy when he complains about my cooking. I work very hard to get everything perfect for him but maybe he hasn't seen that point of view yet.
Your heart sinks when your husband has just started to complain that the roast beef was overdone.,Romantic,"Sadness, Anger, ",I work like a slave and this is all the thanks I get! The jerk!!,"Labeling, ",cbt,Your heart sinks when your husband has just started to complain that the roast beef was overdone. I work like a slave and this is all the thanks I get! The jerk!!,I am very disappointing at his comments even though he is right but I worked very hard to prepare his dinner and was expecting more gratitude and some positive comments to counterbalance with the negative one. He has the right to express an opinion and he did not want to hurt me. I am mad at him but I have to learn as well to be more confident in my cooking and also to let go some feelings or small remarks. I shouldnt be mad at him the whole evening as it will not resolve anything and just ruin the atmosphere and i dont want it to impact as well the kids / guests. We cannot be 100% perfect all the time and if he continues with negative remarks I should make him aware of it and tell him he can also express positive ones.
"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive.",Social,"Anxiety, ",They probably aren’t very interesting people. Why torture myself?,"Jumping to Conclusions (Fortune Teller Error), Magnification, ",cbt,"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive. They probably aren’t very interesting people. Why torture myself?",I think I feel this way because I'm afraid that things go wrong. I need to be more confident in order to fully embrace live.
"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive.",Social,"Anxiety, ",They probably aren’t very interesting people. Why torture myself?,"Jumping to Conclusions (Fortune Teller Error), Magnification, ",cbt,"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive. They probably aren’t very interesting people. Why torture myself?",I am very nervous around people and not very confident. I see all these girls that made such an effort and look so glamorous and I feel really ''underdressed''. They all have a champagne glass in their hand and I do not even drink. I do not even know how to break the ice and thought about a 1000 stupids way to introduce myself before coming. I should start to be more open minded and think it will be a good night! There are free finger foods and 2/3 guys seem very nice and funny.
"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive.",Social,"Anxiety, ",They probably aren’t very interesting people. Why torture myself?,"Jumping to Conclusions (Fortune Teller Error), Magnification, ",cbt,"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive. They probably aren’t very interesting people. Why torture myself?","It is a social affair for singles [only].  It has a specific audience, and with that, some specific objectives. All singles must be similar to me.  They would be a little shy, but looking for a break.  

Some of the people may have unique perspective also. They may be single by choice.  They could be enjoying their current state. It may give me some perspective also.

Many such singles' events must have been organized in the past. Before jumping to any conclusion, I should do some research to see if there are some success stories that I could learn from."
"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive.",Social,"Anxiety, ",They’re just a bunch of losers. I can tell because I feel so bored. ,"Emotional Reasoning, Labeling, ",cbt,"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive. They’re just a bunch of losers. I can tell because I feel so bored. ",I maybe be saying thid because I'm afraid to make friends. I think I should give it a try!
"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive.",Social,"Anxiety, ",They’re just a bunch of losers. I can tell because I feel so bored. ,"Emotional Reasoning, Labeling, ",cbt,"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive. They’re just a bunch of losers. I can tell because I feel so bored. ",I am a little tired and quite hungry so I am less patient to repeat 40 times the same introduction. I feel the discussion is always the same and that I did not learn anything. I should try maybe change the subject and launch a funny theme for the next group like ''best destination to travel'' or ''best cooking class made'' or ''lifetime experience''. I can also participate and control the situation if I want to. If I dont feel a positive vibe I can go to the next group or leave. I am free and can take my own decisions.
"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive.",Social,"Anxiety, ",They’re just a bunch of losers. I can tell because I feel so bored. ,"Emotional Reasoning, Labeling, ",cbt,"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive. They’re just a bunch of losers. I can tell because I feel so bored. ",My [transient] feelings are no subjective measures of who's who of this party.  The party could have a celebrity-single-by-choice.
"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive.",Social,"Anxiety, ",This party will be a drag.,"Jumping to Conclusions (Fortune Teller Error), ",cbt,"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive. This party will be a drag.",I cannot possible know how the party is going to be. It may surprise me! I will get ready and try to have a good time with my people.
"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive.",Social,"Anxiety, ",This party will be a drag.,"Jumping to Conclusions (Fortune Teller Error), ",cbt,"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive. This party will be a drag.",I am trying to find an excuse not to go to this party as I am just dreaming of staying home under my blanket watching netflix. I need to be more open minded and take more initiatives: if I want something in life or have a goal I need to work towards it. I cannot complain all the time i am single if I dont even make the effort to meet people. I need to boost myself and go to the party so I wont regret it afterwards. I could meet very interesting people and some could even become friends. I dont need to put pressure on myself to find absolutely someone tonight; I can just relax and enjoy some nice socialising and music. I should not have high expectations as otherwise I will also be disappointed if I dont meet anyone I like. This could be a way for me to meet new people but also to gain more confidence and learn something. It is also an opportunity to maybe meet someone I could fancy and be in a relationship with so instead of finding excuses I should at least try to see by myself!
"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive.",Social,"Anxiety, ",This party will be a drag.,"Jumping to Conclusions (Fortune Teller Error), ",cbt,"You are lonely and you decide to attend a social affair for singles. Soon after you get there, you have the urge to leave because you feel anxious and defensive. This party will be a drag.","Predicting an unfavorable outcome of a gathering that I chose to attend, without any supporting evidence, is a useless pursuit."
You receive a layoff notice from your employer.,Work,"Anger, Frustration, ",This proves the world is no damn good. I never get a break.,"Mental Filter, All-or-Nothing Thinking, ",cbt,You receive a layoff notice from your employer. This proves the world is no damn good. I never get a break.,"We focus too much on the negative, that's how our brain works, that is why it feels like the world is always against us, I am sure the person has had good things happen to them.
Also we cannot see things as black and white, maybe the company is having a hard time and needs to reduce in size to not go bankrupt."
You receive a layoff notice from your employer.,Work,"Anger, Frustration, ",This proves the world is no damn good. I never get a break.,"Mental Filter, All-or-Nothing Thinking, ",cbt,You receive a layoff notice from your employer. This proves the world is no damn good. I never get a break.,You must stay positive. Think of it this way . You will receive a good reference. Employers like to employ people who have come from a job rather than long term unemployed and show some compassion to redundancies . It could even be you find a better paid job you enjoy more and you also have a redundancy package to keep. Things happen for a reason. You may have coasted along in an average job but now you have the incentive to change career 
You are about to give a lecture and you notice that your heart is pounding.,Work,"Nervous, Tense, ","My God, I’ll probably forget what I’m supposed to say.","Jumping to Conclusions (Fortune Teller Error), ",cbt,"You are about to give a lecture and you notice that your heart is pounding. My God, I’ll probably forget what I’m supposed to say.","I didn't forgot any text in the past and now i am not gonna forget it, even if it's very stressful."
You are about to give a lecture and you notice that your heart is pounding.,Work,"Nervous, Tense, ","My God, I’ll probably forget what I’m supposed to say.","Jumping to Conclusions (Fortune Teller Error), ",cbt,"You are about to give a lecture and you notice that your heart is pounding. My God, I’ll probably forget what I’m supposed to say.","My God, here's my chance to impress people."
You are about to give a lecture and you notice that your heart is pounding.,Work,"Nervous, Tense, ",My speech isn’t any good anyway.,"Disqualifying the Positive, ",cbt,You are about to give a lecture and you notice that your heart is pounding. My speech isn’t any good anyway.,"My speech may not be the best, but it's still decent and I will do better than most of the speakers in my age."
You are about to give a lecture and you notice that your heart is pounding.,Work,"Nervous, Tense, ",My speech isn’t any good anyway.,"Disqualifying the Positive, ",cbt,You are about to give a lecture and you notice that your heart is pounding. My speech isn’t any good anyway.,"Never mind the speech, just talk about the subject in you own words."
You are about to give a lecture and you notice that your heart is pounding.,Work,"Nervous, Tense, ",My mind will blank out. I’ll make a fool of myself.,"Labeling, Jumping to Conclusions (Fortune Teller Error), ",cbt,You are about to give a lecture and you notice that your heart is pounding. My mind will blank out. I’ll make a fool of myself.,"Everyone make mistakes, even if i'm gonna make a fool of myself at least I had the courage to do so. If I believe in myself I won't make a mistake."
You are about to give a lecture and you notice that your heart is pounding.,Work,"Nervous, Tense, ",My mind will blank out. I’ll make a fool of myself.,"Labeling, Jumping to Conclusions (Fortune Teller Error), ",cbt,You are about to give a lecture and you notice that your heart is pounding. My mind will blank out. I’ll make a fool of myself.,"Don't think about the lecture, think about the number of people who WANt to hear what you have to say."
"You have put off writing a report. Every night when you try to get down to it, the whole project seems so difficult that you watch TV instead.",School and College,"Overwhelmed, Guilty, ",I’m so lazy I’ll never get this done.,"Labeling, ",cbt,"You have put off writing a report. Every night when you try to get down to it, the whole project seems so difficult that you watch TV instead. I’m so lazy I’ll never get this done.","I need to get my stuff together, Im doing bad, but I can do better"
